GEOID,Total_population_e,NotHispanic_White_pop_e,Hispanic_or_Latino_population_e,Not_Hispanic_or_Latino_pop_e,OBJECTID
15000US060014354002,769,164,221,548,649
15000US060014354003,1636,282,593,1043,650
15000US060014355001,747,332,60,687,651
15000US060014355002,1712,399,938,774,652
15000US060014355003,1215,281,630,585,653
15000US060014356011,3880,376,2980,900,654
15000US060014356012,1921,204,1154,767,655
15000US060014356021,1781,460,1092,689,656
15000US060014356022,920,177,498,422,657
15000US060014356023,1599,398,719,880,658
15000US060014356024,1239,434,577,662,659
15000US060014357001,1131,147,640,491,660
15000US060014357002,1221,330,538,683,661
15000US060014357003,1195,374,580,615,662
15000US060014357004,1116,220,667,449,663
15000US060014358001,1122,310,460,662,664
15000US060014358002,1390,455,525,865,665
15000US060014358003,1404,367,693,711,666
15000US060014358004,1405,282,476,929,667
15000US060014359001,1720,711,355,1365,668
15000US060014359002,1712,553,480,1232,669
15000US060014359003,1209,371,417,792,670
15000US060014359004,870,172,322,548,671
15000US060014360001,1092,454,506,586,672
15000US060014360002,1995,831,492,1503,673
15000US060014360003,1282,447,536,746,674
15000US060014361001,1190,383,533,657,675
15000US060014361002,2756,603,906,1850,676
15000US060014361003,2111,372,787,1324,677
15000US060014362001,1686,64,1022,664,678
15000US060014362002,2683,532,1527,1156,679
15000US060014363001,1979,146,1360,619,680
15000US060014363002,2539,576,1121,1418,681
15000US060014363003,1358,152,794,564,682
15000US060014363004,2104,332,370,1734,683
15000US060014364011,1062,595,92,970,684
15000US060014364012,2292,768,774,1518,685
15000US060014364013,2466,531,1110,1356,686
15000US060014364014,1226,449,289,937,687
15000US060014364015,835,114,323,512,688
15000US060014364021,1777,777,574,1203,689
15000US060014364022,1098,583,141,957,690
15000US060014365001,1904,234,975,929,691
15000US060014365002,3051,653,1145,1906,692
15000US060014366011,1548,270,569,979,693
15000US060014366012,2844,355,1423,1421,694
15000US060014366013,2074,182,1495,579,695
15000US060014366021,3549,162,1757,1792,696
15000US060014366022,1685,222,548,1137,697
15000US060014367001,1303,187,445,858,698
15000US060014367002,1881,187,1048,833,699
15000US060014368001,2356,369,1277,1079,700
15000US060014368002,1878,310,535,1343,701
15000US060014369001,2545,215,2018,527,702
15000US060014369002,979,222,397,582,703
